path,f_00,f_01,f_02,f_03,f_04,f_05,f_06,f_07,f_08,f_09,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,target_ratio,target_parts,target_pattern,target_base_set,size_mb,comp_ratio,entropy4k,entropy64k
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\about.html,0.5772660117532691,0.5783629663359556,0.05024199124222171,0.0,0.3099792578935239,0.07098409771836829,0.014519474533302604,0.006683567642313897,0.3599907812860106,0.18760082968425904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.004691403549204886,16,1,1,0.004137992858886719,0.36644388107858955,0.5772660117532691,0.5783629663359556
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\app.js,0.605582452713813,0.5828031343587744,0.050628662109375,0.0,0.3694305419921875,0.0445709228515625,0.03546142578125,0.0170135498046875,0.2983245849609375,0.1838226318359375,0.0001220703125,0.0003204345703125,4.57763671875e-05,1.52587890625e-05,0.0,0.0,0.0002288818359375,1.52587890625e-05,0,0,0,0,0,1,0,0,0.005544515560068949,17,1,1,0.07137203216552734,0.23102927617953206,0.605582452713813,0.5828031343587744
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\features_and_labels.py,0.6129884401028407,0.6043381513838719,0.06704384724186704,0.0,0.32008486562942007,0.06775106082036775,0.012446958981612447,0.030693069306930693,0.30763790664780766,0.19434229137199435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.004578910891089109,18,1,1,0.0067424774169921875,0.3842998585572843,0.6129884401028407,0.6043381513838719
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\index.html,0.5574578290520897,0.5127037701703071,0.04386829141820067,0.0,0.4445942442312678,0.07674358309567021,0.011355976147264713,0.004770547057298419,0.27337308789214415,0.145294270158154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.00572529945553539,13,1,1,0.01839160919189453,0.20233341975628727,0.5574578290520897,0.5127037701703071
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\style.css,0.6379526414308487,0.6326580049940176,0.07978554995039787,0.0,0.26363003144985964,0.100132975916584,0.006100006332186504,0.0024906600249066002,0.35063427401481734,0.1970787512928214,0.0,0.00010553644173333052,0.0,0.0,0.0,0.0,2.1107288346666104e-05,2.1107288346666104e-05,0,0,0,0,0,1,0,0,0.005855476285961543,19,1,1,0.045182228088378906,0.18167043079975514,0.6379526414308487,0.6326580049940176
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\team.html,0.5751981386401692,0.5711318278301181,0.061145080600333516,0.0,0.36057068741893644,0.07652399481193256,0.010376134889753566,0.008893829905503057,0.3342597739484899,0.14823049842505095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.005099610894941634,16,1,1,0.005146980285644531,0.3016490642949787,0.5751981386401692,0.5711318278301181
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\train_models.py,0.5950371672815363,0.5950371672815363,0.0594609613781606,0.0,0.2595165323701028,0.035565434843011945,0.005834954153931648,0.06946373992775771,0.3220338983050847,0.24812447902195053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.005170741872742429,17,1,1,0.0034322738647460938,0.2903584328980272,0.5950371672815363,0.5950371672815363
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\ml\feature_extractor.py,0.6046662023150506,0.6046662023150506,0.06664734859461026,0.0,0.3057084902926688,0.07447116777745581,0.010431758910460736,0.03940886699507389,0.303969863807592,0.1993625036221385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.004289046653144017,18,1,1,0.0032911300659179688,0.4303100550565054,0.6046662023150506,0.6046662023150506
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\ml\README_TRAINING.md,0.6173331449346158,0.6118968580569815,0.05169957256258905,0.0,0.2312232851618156,0.01730103806228374,0.014858538571137798,0.022389578668837777,0.43069407693873396,0.2263382861795237,0.0018318746183594546,0.0018318746183594546,0.0,0.0,0.0,0.0,0.0018318746183594546,0.0,0,0,0,0,0,1,0,0,0.004182760024424995,18,1,1,0.004685401916503906,0.44718094850396906,0.6173331449346158,0.6118968580569815
C:\Users\agraw\Box\Bit Encryption\Protottype\Avishkar\ml\train_model.py,0.6160743321441886,0.618000387695,0.0596278861241874,0.0,0.26518717776283346,0.04483299708585519,0.0121049092131809,0.04774714189643578,0.3425240977359337,0.22797579018157363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.004497511768661735,18,1,1,0.004254341125488281,0.39722035418067697,0.6160743321441886,0.618000387695
